algorithm,block,arm,freq
Epsilon-Greedy,3000,2,0.049133333333333334
Epsilon-Greedy,3000,3,0.11146666666666667
Epsilon-Greedy,3000,4,0.7976
Epsilon-Greedy,3500,0,0.01933333333333333
Epsilon-Greedy,3500,1,0.018933333333333333
Epsilon-Greedy,3500,2,0.0412
Epsilon-Greedy,3500,3,0.10726666666666666
Epsilon-Greedy,3500,4,0.8132666666666667
Epsilon-Greedy,4000,0,0.019533333333333333
Epsilon-Greedy,4000,1,0.019533333333333333
Epsilon-Greedy,4000,2,0.020399999999999998
Epsilon-Greedy,4000,3,0.08373333333333334
Epsilon-Greedy,4000,4,0.8568
Epsilon-Greedy,4500,0,0.019933333333333334
Epsilon-Greedy,4500,1,0.019733333333333332
Epsilon-Greedy,4500,2,0.0178
Epsilon-Greedy,4500,3,0.0538
Epsilon-Greedy,4500,4,0.8887333333333334
Epsilon-Greedy,5000,0,0.020399999999999998
Epsilon-Greedy,5000,1,0.019933333333333334
Epsilon-Greedy,5000,2,0.016866666666666665
Epsilon-Greedy,5000,3,0.0614
Epsilon-Greedy,5000,4,0.8814
Epsilon-Greedy,5500,0,0.021733333333333334
Epsilon-Greedy,5500,1,0.021
Epsilon-Greedy,5500,2,0.028066666666666667
Epsilon-Greedy,5500,3,0.11440000000000002
Epsilon-Greedy,5500,4,0.8148
Epsilon-Greedy,6000,0,0.021666666666666667
Epsilon-Greedy,6000,1,0.020133333333333333
Epsilon-Greedy,6000,2,0.0528
Epsilon-Greedy,6000,3,0.1456
Epsilon-Greedy,6000,4,0.7598
Epsilon-Greedy,6500,0,0.04206666666666667
Epsilon-Greedy,6500,1,0.03306666666666667
Epsilon-Greedy,6500,2,0.054000000000000006
Epsilon-Greedy,6500,3,0.14659999999999998
Epsilon-Greedy,6500,4,0.7242666666666667
Epsilon-Greedy,7000,0,0.059133333333333336
Epsilon-Greedy,7000,1,0.05273333333333333
Epsilon-Greedy,7000,2,0.04066666666666666
Epsilon-Greedy,7000,3,0.1482
Epsilon-Greedy,7000,4,0.6992666666666667
Epsilon-Greedy,7500,0,0.1542
Epsilon-Greedy,7500,1,0.05486666666666666
Epsilon-Greedy,7500,2,0.05793333333333333
Epsilon-Greedy,7500,3,0.1382
Epsilon-Greedy,7500,4,0.5948
Epsilon-Greedy,8000,0,0.1976
Epsilon-Greedy,8000,1,0.06806666666666668
